,keys,value
93,bump,"{'1075, 2': 'Ice inside the cloud bumps around and causes electrostatic charges.'}"
94,bury,"{'1032, 2': 'The animals and plants are then buried in mud.', '1033, 2': 'The animal is buried fast under mud.', '1106, 3': 'The seed is buried.', '1154, 2': 'They are buried under layers of soil.', '37, 2': 'Is buried in mud and silt.', '4, 10': 'More chemical changes happen and the buried material becomes oil.', '4, 2': 'They are buried in sediment.', '4, 3': 'Bacteria is buried in the sediment.', '4, 7': 'The chemical structure of the buried sediment and plants changes.', '4, 9': 'The buried area is extremely hot.', '448, 6': 'Rocks buried deep underground exposed to high heat and pressure become metamorphic rock.', '460, 3': 'The remains of living things eventually become buried underground.', '472, 6': 'The bones left behind will weather and become buried by sand and soil.', '676, 2': 'The remains of the plant are buried very fast in sediment.', '68, 5': 'The peat was buried over millions of years by sand, clay, and other mineral material.', '708, 4': 'Sediment gets compressed and heated or gets buried.', '708, 5': 'When sediment is buried it then gets melted.', '708, 7': 'Metamorphic rock gets buried.', '708, 8': 'Buried metamorphic rock gets melted.', '725, 1': 'Most fossils are formed when a plant or animal dies in a watery environment and is buried in mud and silt.', '726, 5': 'The skeleton is buried by mud.', '727, 2': 'Is is buried in a watery environment.'}"
95,burn,"{'1143, 2': 'The trees and plants burn.', '1144, 1': 'Forest fires burn forests.', '1258, 1': 'Stars burn mass.', '476, 1': 'Human beings burn fossil fuels (oil, gas, etc.).', '852, 2': 'The coal powder mixes with hot air, which helps the coal burn more efficiently, and the mixture moves to the furnace.', '960, 5': 'The coal and hot air burn over a fire.', '977, 2': 'People burn coal for heat or electricity.'}"
96,burn,"{'1081, 1': 'Coal is burned in a boiler.', '391, 2': 'The coal is burned at high temperatures inside a boiler.', '422, 3': 'The coal is burned in a furnace.', '460, 8': 'The recently discovered fossil fuel is burned.', '821, 1': 'Coal is burned at a furnace.', '978, 1': 'Coal is burned.'}"
97,burn,"{'460, 9': 'Burning releases the energy that has been stored in the fossil fuel.', '476, 2': 'Carbon dioxide from the burning fossil fuels enter the atmosphere.', '502, 1': 'Energy is created by burning either diesel or petrol in a combustion chamber.', '852, 4': 'Steam released from the boiler powers an engine called a turbine, transforming heat energy from burning coal into mechanical energy that spins the turbine engine.'}"
98,burn,"{'1029, 5': 'The oil is lit on fire, and burns for a long time.', '1095, 1': 'A star burns in space.', '1095, 2': 'Eventually it burns all its hydrogen.', '1095, 4': 'Once the red giant burns itself out.', '1096, 1': 'A red giant burns mass.', '1146, 1': 'A star burns in space.', '1258, 2': 'The star burns until it runs out of fuel.', '600, 2': 'The car engine burns the mix of air and petrol.', '610, 1': 'Fuels burns in the combustion chamber.'}"
99,burst,"{'7, 8': 'The volcano bursts through the rock the formed after the last eruption.'}"
100,call,"{'1073, 6': 'When the positive and negative charges grow large enough, a giant spark, called lightning occurs.', '1131, 3': 'Bees make food called honey.', '1131, 4': 'They use a sticky, glue-like substance called propolis as a binding to hold their hives together.', '1148, 1': 'Solar panels actually comprise many, smaller units called photovoltaic cells.', '1151, 4': 'This process, called transmutation, is the change of one element into another as a result of changes within the nucleus.', '1203, 1': 'Proteins are entered into a phase called transcription.', '1204, 4': 'The next step in making a protein is called translation.', '1204, 6': 'The ribosome figures out where to start on the mRNA by finding a special three letter ""begin"" sequence called a codon.', '1207, 1': 'Your body accomplishes ""rapid hemostasis"" (stops the bleeding) through a process called vasoconstriction, in which your blood vessels are closed tight.', '1207, 4': 'The body then begins the process of rebuilding tissue and is called angiogenesis.', '1207, 5': ""It's time to begin regrowing damaged skin which is called reepithelialization."", '139, 3': 'Air reaches the smallest and finest air sacs called alveoli.', '157, 5': 'The melted aluminum is formed into large formations called ingots.', '159, 7': 'The molten aluminum is made into large blocks called ingots.', '367, 5': 'The plant creates food, called glucose, for itself.', '411, 7': 'Information concerning moving targets and information governing scanning of the eyes travels to a second site in the brainstem, a nucleus called the superior colliculus.', '411, 8': 'Most projections from the retina travel via the optic nerve to a part of the thalamus called the lateral geniculate nucleus (LGN), deep in the center of the brain.', '472, 8': 'This creates a rock-like substance called a fossil.', '514, 6': 'The mass becomes solid and heavy enough to be called a glacier.', '543, 2': 'Kidneys filter that blood tiny filters inside the kidneys called nephrons.', '543, 5': 'As each kidney makes urine, the urine slides down a long tube called the ureter.', '548, 5': 'The liver also produces a digestive juice called bile that helps the body absorb fat into the bloodstream.', '565, 5': ""The piston is connected to one or more of the locomotive's wheels through a kind of arm-elbow-shoulder joint called a crank and connecting rod."", '617, 7': 'The red blood cells bind the oxygen via a protein called heme.', '640, 3': 'Tiny fish called fry emerge.', '658, 2': 'The egg hatches to form a larva, also called a caterpillar.', '658, 5': 'The caterpillar in the chrysalis begins change, a process called mmetaphorphosis.', '68, 4': 'Eventually forming a soggy, dense material called peat.', '687, 1': 'Carbon dioxide from the air passes through small pores (holes) in the leaves. These pores are called stomata.', '69, 3': 'Dead plants and trees form layers called peat.', '693, 8': 'This rain is called acid rain and can damage forests and kill fish.', '695, 3': 'Water vapor in the air gets cold and changes back into liquid, forming clouds, which is called condensation.', '696, 1': 'Air contains invisible moisture called water vapor.', '699, 7': 'The aluminum is made into large blocks called ingots.', '716, 2': 'The kidneys are made up of filtering units called nephrons.', '725, 4': 'As the encased bones decay, minerals seep in replacing the organic material cell by cell in a process called ""petrification."".', '775, 2': 'Melted rock inside the Earth is also called molten rock, or magma.', '794, 3': 'Bronchioles have tiny air sacs called alveoli.', '852, 1': 'A machine called a pulverizer grinds the coal into a fine powder.', '852, 4': 'Steam released from the boiler powers an engine called a turbine, transforming heat energy from burning coal into mechanical energy that spins the turbine engine.', '876, 1': 'Water vapor gets into the atmosphere through a process called evaporation.', '876, 4': 'Water vapor rises in the atmosphere and there it cools down and forms tiny water droplets through something called condensation.', '925, 3': 'At each cell in your body, oxygen is exchanged for a waste gas called carbon dioxide.', '925, 5': 'Your lungs and respiratory system automatically perform this vital process, called gas exchange.', '939, 2': 'These pores are called stomata.'}"
101,come,"{'78, 2': 'The wind and water pick up sediment that came off the rocks.'}"
102,capture,"{'330, 2': 'Cells with chlorophyll in them capture the light energy.', '616, 4': 'The filters capture the waste products.'}"
103,capture,"{'112, 3': 'Sunlight is captured by the plant.'}"
104,capture,"{'225, 5': 'The hook captures the thread.'}"
105,carry,"{'1065, 3': 'Spores are carried by the wind.', '1298, 1': 'Blood carried into kidney by the renal artery.', '139, 5': 'Oxygen-rich blood is carried to the heart.', '249, 8': 'A solution is formed that can easily be carried away by water.', '448, 2': 'Eroded rock particles are carried away by wind or by rain, streams, rivers, and oceans.', '543, 1': 'Blood is carried into the kidneys by the renal artery.', '548, 4': ""Waste or stuff your body doesn't need can be carried by bile back into the intestine or into the kidneys."", '616, 2': 'Blood is carried to the kidneys through the renal arteries.', '631, 2': 'Bags get carried out to the trashcan.', '696, 3': 'Water droplets are carried up into the clouds.', '771, 6': 'The carbon dioxide is carried back to the lungs via the bloodstream.', '78, 3': 'Sediment is carried to an area by the wind, water, air, or ice.', '925, 2': 'Once in the lungs, oxygen is moved into the bloodstream and carried through your body.'}"
106,carry,"{'1137, 7': 'The owl eats the prey, or carries it back to its perch.', '140, 6': 'The bloodstream carries the carbon dioxide back to the lungs.', '412, 9': 'Your auditory nerve carries the message to your brain.', '743, 3': 'When the bee flies off, it carries off the pollen sac.', '770, 8': 'Blood carries carbon dioxide back to the lungs.', '782, 3': 'The wind carries the seeds through the air to other areas.', '846, 4': 'The blood carries the urea and carbon dioxide to the kidneys.', '904, 4': 'The optic nerve carries electrical pulses through the optic canal.', '924, 7': 'The blood carries the oxygen to the heart.', '925, 4': 'Your bloodstream then carries this waste gas back to the lungs where it is removed from the blood stream and then exhaled.', '935, 4': 'Ocean water carries sand and rocks into the ocean.'}"
107,carry,"{'11, 8': 'The waves carry the new particles with them.', '1223, 6': 'The wires will carry electrons to homes and businesses remotely.', '1298, 5': 'Ureters carry urine out of the kidneys.', '463, 1': 'Updrafts in a thunderstorm carry raindrops upwards.', '618, 5': 'Red blood cells carry oxygen all around the body.'}"
108,carry,"{'1061, 6': 'And then you send the rocket carrying the satellite into space.'}"
109,carve,"{'747, 3': 'The rock over the years carves through the rock.', '927, 5': 'The water carves away land, plants, and trees.', '933, 4': 'The acidity of the water carves and shapes the rock.'}"
110,catch,"{'1183, 2': 'The filter has small pores to catch pollutants.', '1183, 3': 'The filter will catch chlorine, heavy metals, and other chemicals.'}"
111,catch,"{'1138, 7': 'The owl catches a mouse in his talons.', '1195, 4': 'Catches the mouse in its talons.'}"
112,catch,"{'465, 1': 'Water gets caught in winds that are moving upward.', '782, 4': 'The seeds get caught in the fur of animals.'}"
113,cause,"{'207, 4': 'The motion of the filaments cause the muscle to shorten and contract.', '300, 9': ""The body's natural defenses can sometimes cause us to feel unwell."", '413, 5': 'Vibrations from the eardrum cause very small bones in the inner ear to move.', '448, 1': 'Wind and water cause erosion and weathering to the rocks.', '48, 4': 'The things that come out of the volcano cause disturbances in the environment.', '48, 8': 'Mudslides and ash clouds cause problems after some eruptions.', '503, 8': 'Different parts of the car cause the motion in the crankshaft to cause the wheels to move.', '627, 3': 'The hormones cause the pancreas to produce enzymes for digestion.', '674, 4': 'Crystalized minerals cause the remains to harden.', '746, 3': 'And cause a acidic reaction.', '908, 7': 'When they do this their roots penetrate pores and crevices and cause rocks to split apart as the roots force their way down through the rocks.', '920, 1': 'Gases cause pressure beneath the earth.'}"
114,cause,"{'13, 3': 'Clouds lose these droplets through rain or snow, also caused precipitation.', '68, 6': 'Pressure caused by the wait of the materials squeezed water from the peat.', '68, 7': 'With the heat caused by increased burial peat slowly became coal.', '69, 6': 'Pressure caused by sedimentary rocks squeezes water out of the peat.', '915, 7': 'Transport is also caused by glaciers as they flow.'}"
115,cause,"{'1075, 2': 'Ice inside the cloud bumps around and causes electrostatic charges.', '1127, 6': 'This moisture causes the swirling air and clouds to grow bigger.', '1129, 2': 'An area of low pressure causes rotation.', '1145, 4': 'Energy produced by helium fusion causes the star to expand.', '116, 1': 'Movements of tectonic plates causes the creation of volcanoes.', '1184, 1': 'Chemical reactions in the battery causes a build up of electrons at the anode.', '1250, 3': 'Movement causes the magnet inside to produce eletricity.', '1258, 6': 'The pressure causes gravity to get stronger.', '365, 2': 'Causes them to absorb aluminum from soil.', '384, 6': 'The virus causes symptoms in the body as the immune system tries to expel the virus.', '41, 4': 'The pressure causes the rocks to press against each other very hard.', '41, 7': 'The pressure and movement around the cracks causes the rocks to crumble in some places.', '41, 9': 'The energy causes seismic waves.', '478, 7': 'This causes more heat radiation to stay trapped in our atmosphere.', '480, 2': 'The energy from the sunlight causes an enzyme in the plant to break apart the water.', '496, 6': 'The evaporation causes cooling.', '5, 5': 'Higher pressure causes the sediment to heat up.', '5, 6': 'The heat causes chemical processes.', '51, 3': 'The cooling causes atoms in the magma to condense.', '52, 7': 'The energy causes seismic waves.', '563, 6': 'The piston causes the crankshaft to move.', '584, 1': 'Warm weather causes water to evaporate.', '608, 4': 'A spark plug causes a spark at the bottom stroke of the piston.', '611, 4': 'Causes symptoms.', '671, 2': 'The heat causes the molecules in the liquid to increase in energy.', '7, 4': 'The pressure causes the magma to push through the surface of the volcano.', '893, 3': 'Insulin causes the body to absorb glucose from the blood.', '908, 5': 'This causes rock to break apart.', '917, 2': 'The energy causes the fault lines give way.', '921, 2': 'The pressure causes plates to move.', '927, 6': 'It causes destruction as it travels.'}"
